주파수 (Hz)	레벨 (dB)
23.437500	-94.498154
46.875000	-80.263985
70.312500	-66.124763
93.750000	-59.602932
117.187500	-53.928619
140.625000	-53.069485
164.062500	-55.891907
187.500000	-52.357906
210.937500	-52.429771
234.375000	-50.769985
257.812500	-45.698868
281.250000	-48.059978
304.687500	-49.943657
328.125000	-48.464066
351.562500	-48.319279
375.000000	-51.107456
398.437500	-49.631687
421.875000	-47.570583
445.312500	-46.175674
468.750000	-49.130608
492.187500	-52.059303
515.625000	-45.537060
539.062500	-46.176552
562.500000	-52.652905
585.937500	-52.058044
609.375000	-49.410603
632.812500	-48.414532
656.250000	-53.784546
679.687500	-50.200596
703.125000	-45.787323
726.562500	-50.792622
750.000000	-56.469540
773.437500	-53.176846
796.875000	-52.027676
820.312500	-51.722210
843.750000	-51.243999
867.187500	-56.008781
890.625000	-55.496387
914.062500	-61.345913
937.500000	-60.525955
960.937500	-62.040424
984.375000	-58.223434
1007.812500	-60.235565
1031.250000	-50.711761
1054.687500	-46.506397
1078.125000	-52.962605
1101.562500	-63.923172
1125.000000	-66.218323
1148.437500	-65.642693
1171.875000	-60.832088
1195.312500	-62.583038
1218.750000	-68.253334
1242.187500	-60.659271
1265.625000	-60.612991
1289.062500	-67.958092
1312.500000	-60.991455
1335.937500	-59.221558
1359.375000	-64.686951
1382.812500	-62.561424
1406.250000	-60.293106
1429.687500	-64.840607
1453.125000	-66.798660
1476.562500	-63.490643
1500.000000	-65.957863
1523.437500	-72.561966
1546.875000	-69.348427
1570.312500	-61.383575
1593.750000	-61.836308
1617.187500	-70.026489
1640.625000	-71.293243
1664.062500	-65.786156
1687.500000	-65.462624
1710.937500	-72.088730
1734.375000	-70.441628
1757.812500	-64.597145
1781.250000	-63.548920
1804.687500	-70.458206
1828.125000	-72.927811
1851.562500	-68.916466
1875.000000	-65.204353
1898.437500	-67.054054
1921.875000	-71.933762
1945.312500	-71.964012
1968.750000	-64.096733
1992.187500	-64.345100
2015.625000	-73.321396
2039.062500	-78.192009
2062.500000	-73.949913
2085.937500	-68.475159
2109.375000	-62.254112
2132.812500	-64.027214
2156.250000	-74.513046
2179.687500	-75.489288
2203.125000	-72.935234
2226.562500	-70.874550
2250.000000	-72.798958
2273.437500	-80.420456
2296.875000	-80.825623
2320.312500	-77.728119
2343.750000	-74.601997
2367.187500	-66.325310
2390.625000	-64.596008
2414.062500	-72.842964
2437.500000	-80.384300
2460.937500	-71.908592
2484.375000	-67.191933
2507.812500	-69.828812
2531.250000	-70.143547
2554.687500	-77.234894
2578.125000	-84.926376
2601.562500	-83.392624
2625.000000	-81.266029
2648.437500	-71.581375
2671.875000	-68.834038
2695.312500	-74.428421
2718.750000	-80.562775
2742.187500	-75.013710
2765.625000	-73.313118
2789.062500	-71.262352
2812.500000	-68.174179
2835.937500	-64.160278
2859.375000	-68.527878
2882.812500	-80.137352
2906.250000	-82.400925
2929.687500	-78.928871
2953.125000	-78.864098
