주파수 (Hz)	레벨 (dB)
23.437500	-96.120033
46.875000	-81.269226
70.312500	-69.422043
93.750000	-62.026752
117.187500	-57.034801
140.625000	-53.097897
164.062500	-52.838161
187.500000	-50.072174
210.937500	-49.710789
234.375000	-49.339729
257.812500	-47.333286
281.250000	-48.851826
304.687500	-49.895477
328.125000	-48.022049
351.562500	-46.265129
375.000000	-46.842323
398.437500	-47.567413
421.875000	-50.845520
445.312500	-48.304626
468.750000	-47.618820
492.187500	-49.014275
515.625000	-47.577347
539.062500	-48.840214
562.500000	-53.041538
585.937500	-49.394234
609.375000	-48.624901
632.812500	-48.025105
656.250000	-48.246395
679.687500	-48.561016
703.125000	-47.307709
726.562500	-53.053635
750.000000	-59.417702
773.437500	-55.811085
796.875000	-55.051491
820.312500	-55.815052
843.750000	-55.965183
867.187500	-55.223396
890.625000	-53.765125
914.062500	-60.809464
937.500000	-62.512329
960.937500	-65.589813
984.375000	-61.321777
1007.812500	-63.448521
1031.250000	-63.497314
1054.687500	-60.226048
1078.125000	-64.825645
1101.562500	-65.431755
1125.000000	-67.994247
1148.437500	-65.723717
1171.875000	-55.021217
1195.312500	-54.928967
1218.750000	-64.631157
1242.187500	-59.116257
1265.625000	-59.379921
1289.062500	-66.633522
1312.500000	-62.379921
1335.937500	-62.896111
1359.375000	-69.208359
1382.812500	-64.321938
1406.250000	-61.008732
1429.687500	-65.953217
1453.125000	-71.380608
1476.562500	-64.754890
1500.000000	-64.762558
1523.437500	-70.963074
1546.875000	-67.930664
1570.312500	-59.788841
1593.750000	-59.295574
1617.187500	-69.819099
1640.625000	-69.729439
1664.062500	-63.029675
1687.500000	-64.766525
1710.937500	-73.771072
1734.375000	-73.312759
1757.812500	-64.864410
1781.250000	-61.161625
1804.687500	-67.398628
1828.125000	-72.125618
1851.562500	-67.828728
1875.000000	-66.912933
1898.437500	-68.663055
1921.875000	-74.944695
1945.312500	-74.057228
1968.750000	-67.872101
1992.187500	-66.148094
2015.625000	-71.217552
2039.062500	-79.060295
