주파수 (Hz)	레벨 (dB)
23.437500	-95.090919
46.875000	-83.024574
70.312500	-67.615341
93.750000	-60.048397
117.187500	-56.576607
140.625000	-52.495445
164.062500	-52.217331
187.500000	-51.369858
210.937500	-50.615791
234.375000	-49.784748
257.812500	-47.979755
281.250000	-50.375542
304.687500	-48.348259
328.125000	-48.702789
351.562500	-48.513363
375.000000	-47.905243
398.437500	-47.518974
421.875000	-50.988419
445.312500	-51.458340
468.750000	-48.130512
492.187500	-49.431992
515.625000	-47.172585
539.062500	-48.060104
562.500000	-53.147167
585.937500	-50.605862
609.375000	-45.794323
632.812500	-44.317501
656.250000	-49.793297
679.687500	-50.125370
703.125000	-47.940117
726.562500	-53.623459
750.000000	-59.681778
773.437500	-54.600307
796.875000	-54.074287
820.312500	-54.974968
843.750000	-55.244690
867.187500	-60.810738
890.625000	-62.117920
914.062500	-62.605087
937.500000	-60.728592
960.937500	-64.687408
984.375000	-60.188042
1007.812500	-61.906860
1031.250000	-59.902531
1054.687500	-56.744061
1078.125000	-62.040150
1101.562500	-65.142387
1125.000000	-67.308678
1148.437500	-64.831665
1171.875000	-54.494267
1195.312500	-54.739120
1218.750000	-62.176060
1242.187500	-53.524071
1265.625000	-54.127155
1289.062500	-63.020332
1312.500000	-58.043217
1335.937500	-59.388752
1359.375000	-67.825638
1382.812500	-62.824768
1406.250000	-58.334023
1429.687500	-62.644608
1453.125000	-68.159515
1476.562500	-65.137924
1500.000000	-65.650711
1523.437500	-70.782898
1546.875000	-66.035789
1570.312500	-57.820713
1593.750000	-57.898285
1617.187500	-68.729401
1640.625000	-69.565025
1664.062500	-62.687870
1687.500000	-64.170158
1710.937500	-73.543900
1734.375000	-73.305176
1757.812500	-69.105270
1781.250000	-66.446609
1804.687500	-71.992470
1828.125000	-72.544128
1851.562500	-67.698334
1875.000000	-64.558601
1898.437500	-65.391632
1921.875000	-74.607864
1945.312500	-75.437141
1968.750000	-68.120117
1992.187500	-66.188721
2015.625000	-71.224670
2039.062500	-76.545441
2062.500000	-74.469780
2085.937500	-68.507278
2109.375000	-65.305656
2132.812500	-67.925117
2156.250000	-76.104858
2179.687500	-76.796410
2203.125000	-72.462502
2226.562500	-72.792641
2250.000000	-74.312920
2273.437500	-79.559242
2296.875000	-81.749794
2320.312500	-78.073700
2343.750000	-75.391891
2367.187500	-69.105423
2390.625000	-68.786453
2414.062500	-77.125313
2437.500000	-81.937721
2460.937500	-79.612068
2484.375000	-75.467094
2507.812500	-68.212402
2531.250000	-66.351440
2554.687500	-74.103081
2578.125000	-80.922783
2601.562500	-82.026237
2625.000000	-79.377144
2648.437500	-70.653931
2671.875000	-69.441376
2695.312500	-76.879677
2718.750000	-84.992569
2742.187500	-82.178558
2765.625000	-78.344154
2789.062500	-75.104103
2812.500000	-75.798073
2835.937500	-72.911575
2859.375000	-75.546799
2882.812500	-82.040947
2906.250000	-86.223457
2929.687500	-82.355698
2953.125000	-76.722824
2976.562500	-76.540161
3000.000000	-76.275742
3023.437500	-76.045166
3046.875000	-83.259193
3070.312500	-86.617607
3093.750000	-78.142006
3117.187500	-78.986992
3140.625000	-80.468300
3164.062500	-73.608414
3187.500000	-71.254601
3210.937500	-73.835579
3234.375000	-80.090469
3257.812500	-87.510651
3281.250000	-82.083450
3304.687500	-81.672203
3328.125000	-82.486786
3351.562500	-82.657837
3375.000000	-80.548088
3398.437500	-80.039078
3421.875000	-82.074760
3445.312500	-87.991356
3468.750000	-87.031036
3492.187500	-84.627731
3515.625000	-84.793221
3539.062500	-83.453407
3562.500000	-82.812172
3585.937500	-83.674652
3609.375000	-83.504707
3632.812500	-86.470947
3656.250000	-91.376816
3679.687500	-89.963959
3703.125000	-86.312492
3726.562500	-86.546043
3750.000000	-81.999481
3773.437500	-78.201508
3796.875000	-81.356201
3820.312500	-81.050545
3843.750000	-80.060173
3867.187500	-81.868835
3890.625000	-89.481689
3914.062500	-94.798309
3937.500000	-92.557625
3960.937500	-90.819183
3984.375000	-90.424179
4007.812500	-88.384514
4031.250000	-88.345276
4054.687500	-85.849564
4078.125000	-85.998848
4101.562500	-88.534538
4125.000000	-91.137993
4148.437500	-93.852875
4171.875000	-91.649567
4195.312500	-87.124687
4218.750000	-86.314384
4242.187500	-81.426331
4265.625000	-83.356796
4289.062500	-87.210159
4312.500000	-84.744110
4335.937500	-83.247185
4359.375000	-84.657448
4382.812500	-90.289787
4406.250000	-96.908943
4429.687500	-97.304306
4453.125000	-96.466179
4476.562500	-86.904144
4500.000000	-83.381790
4523.437500	-88.273079
4546.875000	-91.603149
4570.312500	-91.584099
4593.750000	-93.065163
4617.187500	-95.054573
4640.625000	-91.775475
4664.062500	-90.077271
4687.500000	-90.257149
4710.937500	-93.384926
4734.375000	-92.179665
4757.812500	-90.625847
4781.250000	-92.536774
4804.687500	-95.119896
4828.125000	-91.639694
4851.562500	-89.677055
4875.000000	-91.280426
4898.437500	-92.309952
4921.875000	-91.285210
4945.312500	-92.482727
4968.750000	-99.464912
4992.187500	-102.518745
5015.625000	-99.561111
5039.062500	-95.258553
5062.500000	-92.153503
5085.937500	-92.996429
5109.375000	-95.817039
5132.812500	-92.520660
5156.250000	-88.943512
5179.687500	-88.490349
5203.125000	-94.586006
5226.562500	-94.479797
5250.000000	-88.367432
5273.437500	-91.072136
5296.875000	-99.808777
5320.312500	-101.680298
5343.750000	-98.578362
5367.187500	-94.975151
5390.625000	-91.951569
5414.062500	-89.248917
5437.500000	-91.695412
5460.937500	-98.072906
5484.375000	-97.430923
5507.812500	-95.458687
5531.250000	-93.942032
5554.687500	-91.911644
5578.125000	-94.458656
5601.562500	-95.939110
5625.000000	-94.020996
5648.437500	-99.866257
5671.875000	-97.950119
5695.312500	-94.569435
5718.750000	-90.750153
5742.187500	-87.820267
5765.625000	-90.900002
5789.062500	-99.218925
5812.500000	-94.751213
5835.937500	-90.168945
5859.375000	-91.566147
5882.812500	-92.588669
5906.250000	-91.869217
5929.687500	-95.382637
5953.125000	-97.301674
5976.562500	-99.246620
6000.000000	-102.682823
6023.437500	-106.484451
6046.875000	-105.533653
6070.312500	-95.115837
6093.750000	-91.426659
6117.187500	-93.026695
6140.625000	-94.717690
6164.062500	-93.395279
6187.500000	-91.581635
6210.937500	-94.218071
6234.375000	-99.693405
6257.812500	-104.221962
6281.250000	-104.547462
6304.687500	-102.810913
6328.125000	-105.239777
6351.562500	-103.400215
6375.000000	-99.645767
6398.437500	-100.717506
6421.875000	-106.831985
6445.312500	-109.395927
6468.750000	-104.749115
6492.187500	-101.402161
6515.625000	-100.892708
6539.062500	-103.388641
6562.500000	-103.754425
6585.937500	-98.221138
6609.375000	-94.875290
6632.812500	-97.854034
6656.250000	-103.009224
6679.687500	-97.311638
6703.125000	-98.415627
6726.562500	-100.275879
6750.000000	-101.589020
6773.437500	-102.268311
6796.875000	-102.134827
6820.312500	-98.837036
