주파수 (Hz)	레벨 (dB)
23.437500	-85.346878
46.875000	-70.752792
70.312500	-57.499397
93.750000	-49.515667
117.187500	-49.762295
140.625000	-49.764294
164.062500	-49.076679
187.500000	-46.695053
210.937500	-43.987587
234.375000	-45.473816
257.812500	-48.431171
281.250000	-49.574772
304.687500	-48.278603
328.125000	-47.939671
351.562500	-45.854603
375.000000	-47.862144
398.437500	-47.427799
421.875000	-47.589939
445.312500	-50.007885
468.750000	-47.858109
492.187500	-51.838684
515.625000	-49.571659
539.062500	-48.556591
562.500000	-48.402119
585.937500	-47.117104
609.375000	-47.407326
632.812500	-47.784382
656.250000	-53.004799
679.687500	-51.667805
703.125000	-48.416840
726.562500	-50.618023
750.000000	-53.111301
773.437500	-53.428440
796.875000	-53.864368
820.312500	-48.847252
843.750000	-48.379841
867.187500	-58.913605
890.625000	-62.802334
914.062500	-61.316242
937.500000	-57.651569
960.937500	-59.866589
984.375000	-56.415646
1007.812500	-58.781349
1031.250000	-56.267902
1054.687500	-53.056499
1078.125000	-58.356056
1101.562500	-57.213360
1125.000000	-57.923080
1148.437500	-61.710728
1171.875000	-54.076569
1195.312500	-54.714966
1218.750000	-56.949581
1242.187500	-50.234901
1265.625000	-51.877518
1289.062500	-61.386658
1312.500000	-58.387669
1335.937500	-59.423763
1359.375000	-62.496052
1382.812500	-53.952473
1406.250000	-51.208519
1429.687500	-56.585964
1453.125000	-64.666725
1476.562500	-62.535149
1500.000000	-62.914276
1523.437500	-68.887627
1546.875000	-63.916206
1570.312500	-55.640091
1593.750000	-56.483334
1617.187500	-65.666901
1640.625000	-63.448936
1664.062500	-57.200897
1687.500000	-57.792656
1710.937500	-66.285515
1734.375000	-68.828728
1757.812500	-65.644630
1781.250000	-65.524704
1804.687500	-70.911636
1828.125000	-70.397369
1851.562500	-60.829830
1875.000000	-54.577980
1898.437500	-56.933796
1921.875000	-67.478035
1945.312500	-71.250908
1968.750000	-67.972366
1992.187500	-66.934410
2015.625000	-68.763908
2039.062500	-73.798973
2062.500000	-72.964645
2085.937500	-65.896393
2109.375000	-61.543209
2132.812500	-64.571320
2156.250000	-74.366608
2179.687500	-74.467812
2203.125000	-71.655548
2226.562500	-68.798401
2250.000000	-69.703217
2273.437500	-76.047577
2296.875000	-77.073479
2320.312500	-72.219063
2343.750000	-67.872551
2367.187500	-66.455643
2390.625000	-68.788277
2414.062500	-77.455803
2437.500000	-78.513245
2460.937500	-76.470688
2484.375000	-71.888382
2507.812500	-63.572533
2531.250000	-62.899914
2554.687500	-71.518005
2578.125000	-75.657608
2601.562500	-79.887032
2625.000000	-80.032478
2648.437500	-79.422577
2671.875000	-77.987045
2695.312500	-79.079514
2718.750000	-78.711967
2742.187500	-73.531715
2765.625000	-73.636581
2789.062500	-72.522285
2812.500000	-69.469193
2835.937500	-69.458450
2859.375000	-75.741966
2882.812500	-82.403687
2906.250000	-81.358498
2929.687500	-79.607430
2953.125000	-75.249031
2976.562500	-73.878960
3000.000000	-74.372932
3023.437500	-77.753967
3046.875000	-80.839058
3070.312500	-82.009491
3093.750000	-75.942513
3117.187500	-77.778831
3140.625000	-78.056793
3164.062500	-71.723907
3187.500000	-69.542091
3210.937500	-71.045219
3234.375000	-78.691048
