주파수 (Hz)	레벨 (dB)
23.437500	-101.224236
46.875000	-88.057846
70.312500	-76.709633
93.750000	-71.751015
117.187500	-69.206169
140.625000	-70.571838
164.062500	-69.984108
187.500000	-67.059227
210.937500	-63.027721
234.375000	-59.691044
257.812500	-62.634415
281.250000	-64.962440
304.687500	-68.719391
328.125000	-68.044495
351.562500	-65.698837
375.000000	-63.220123
398.437500	-64.217278
421.875000	-65.823761
445.312500	-66.328537
468.750000	-63.624550
492.187500	-63.554798
515.625000	-67.873634
539.062500	-69.481125
562.500000	-66.527344
585.937500	-69.179420
609.375000	-67.913017
632.812500	-67.108208
656.250000	-70.750114
679.687500	-71.181084
703.125000	-69.230347
726.562500	-73.274696
750.000000	-75.207695
773.437500	-78.630600
796.875000	-79.267723
820.312500	-73.947502
843.750000	-73.751610
867.187500	-74.154518
890.625000	-72.775314
914.062500	-77.991188
937.500000	-75.657768
960.937500	-78.015495
984.375000	-75.078537
1007.812500	-78.291672
1031.250000	-85.185608
1054.687500	-85.296486
1078.125000	-87.663757
1101.562500	-79.654755
1125.000000	-79.048615
1148.437500	-87.429482
1171.875000	-82.570175
1195.312500	-84.710938
1218.750000	-88.272751
1242.187500	-83.569946
1265.625000	-86.352013
1289.062500	-93.471741
1312.500000	-88.977615
1335.937500	-88.422752
1359.375000	-91.614822
1382.812500	-83.682167
1406.250000	-81.086769
1429.687500	-86.395599
1453.125000	-93.426575
1476.562500	-89.784790
1500.000000	-88.845818
1523.437500	-96.239288
1546.875000	-91.680290
1570.312500	-87.524147
1593.750000	-91.689919
1617.187500	-96.324150
1640.625000	-89.017120
1664.062500	-81.870613
1687.500000	-81.258904
1710.937500	-92.003166
1734.375000	-91.565231
1757.812500	-85.722733
1781.250000	-85.644318
1804.687500	-94.552689
1828.125000	-102.854958
1851.562500	-90.753174
1875.000000	-82.823669
1898.437500	-85.928452
1921.875000	-102.678749
1945.312500	-95.231506
1968.750000	-91.454765
1992.187500	-90.740402
2015.625000	-94.954674
2039.062500	-107.783752
2062.500000	-108.665283
2085.937500	-107.337418
2109.375000	-103.476402
2132.812500	-106.022827
2156.250000	-109.864220
2179.687500	-106.843407
2203.125000	-105.114517
