주파수 (Hz)	레벨 (dB)
23.437500	-103.428398
46.875000	-90.210434
70.312500	-78.274658
93.750000	-71.339470
117.187500	-67.355858
140.625000	-66.940819
164.062500	-66.085983
187.500000	-66.450783
210.937500	-63.394413
234.375000	-60.311131
257.812500	-64.890083
281.250000	-66.376205
304.687500	-67.325989
328.125000	-66.688812
351.562500	-64.250542
375.000000	-62.698048
398.437500	-65.429161
421.875000	-67.722839
445.312500	-66.888634
468.750000	-64.038048
492.187500	-67.263817
515.625000	-72.232002
539.062500	-67.836807
562.500000	-65.025749
585.937500	-69.725380
609.375000	-69.441689
632.812500	-68.697815
656.250000	-67.009209
679.687500	-68.487038
703.125000	-69.073593
726.562500	-72.722015
750.000000	-73.453354
773.437500	-76.154770
796.875000	-77.009941
820.312500	-71.837425
843.750000	-71.452881
867.187500	-72.806732
890.625000	-70.864609
914.062500	-78.330055
937.500000	-78.375870
960.937500	-81.498161
984.375000	-79.655891
1007.812500	-83.551147
1031.250000	-88.926064
1054.687500	-87.869484
1078.125000	-88.105881
1101.562500	-80.348686
1125.000000	-80.248840
1148.437500	-89.538048
1171.875000	-86.202003
1195.312500	-88.652161
1218.750000	-88.091583
1242.187500	-83.964111
1265.625000	-88.143677
1289.062500	-93.562096
1312.500000	-90.358688
1335.937500	-91.429855
1359.375000	-93.165527
1382.812500	-84.874443
1406.250000	-82.570190
1429.687500	-87.829582
1453.125000	-95.893616
1476.562500	-92.208183
1500.000000	-91.750656
1523.437500	-98.919373
1546.875000	-93.346870
1570.312500	-87.859444
1593.750000	-91.164886
1617.187500	-98.456154
1640.625000	-91.135872
1664.062500	-84.251663
1687.500000	-83.631836
1710.937500	-93.994057
1734.375000	-93.220772
1757.812500	-90.086975
1781.250000	-90.972725
1804.687500	-100.123856
1828.125000	-106.125992
1851.562500	-91.460136
1875.000000	-83.186226
1898.437500	-85.955025
1921.875000	-101.380600
1945.312500	-95.461807
1968.750000	-90.336815
1992.187500	-88.459534
2015.625000	-93.242561
2039.062500	-107.093330
2062.500000	-109.343170
2085.937500	-104.194061
2109.375000	-100.942917
2132.812500	-104.909279
2156.250000	-110.535210
2179.687500	-105.466072
2203.125000	-101.010674
2226.562500	-98.151596
2250.000000	-95.784912
2273.437500	-102.372505
2296.875000	-110.450653
2320.312500	-107.389389
2343.750000	-96.216568
2367.187500	-94.238159
2390.625000	-99.987236
2414.062500	-109.111267
2437.500000	-111.631111
2460.937500	-108.992691
2484.375000	-97.929298
2507.812500	-93.852394
2531.250000	-97.562241
2554.687500	-108.654991
2578.125000	-114.507744
2601.562500	-113.596657
2625.000000	-113.168716
2648.437500	-103.981430
2671.875000	-97.793968
2695.312500	-101.569641
2718.750000	-114.810799
2742.187500	-112.275703
2765.625000	-105.035530
2789.062500	-98.692650
2812.500000	-95.440292
2835.937500	-97.413528
2859.375000	-102.865875
2882.812500	-112.087173
2906.250000	-115.188660
2929.687500	-115.694397
2953.125000	-114.577835
2976.562500	-111.793198
3000.000000	-102.859261
3023.437500	-101.177063
3046.875000	-108.360451
3070.312500	-115.709747
3093.750000	-112.997528
3117.187500	-111.917671
3140.625000	-114.290024
3164.062500	-112.108505
3187.500000	-105.764908
