주파수 (Hz)	레벨 (dB)
23.437500	-89.035217
46.875000	-75.136482
70.312500	-60.573376
93.750000	-51.637115
117.187500	-50.402222
140.625000	-49.781868
164.062500	-50.131260
187.500000	-46.835644
210.937500	-45.660107
234.375000	-47.501472
257.812500	-45.103817
281.250000	-45.049500
304.687500	-43.952599
328.125000	-44.931412
351.562500	-44.815544
375.000000	-46.751072
398.437500	-45.633926
421.875000	-47.260227
445.312500	-46.003448
468.750000	-43.291580
492.187500	-47.621044
515.625000	-45.080978
539.062500	-42.651985
562.500000	-41.746578
585.937500	-46.028671
609.375000	-41.275089
632.812500	-39.601322
656.250000	-48.280025
679.687500	-45.766636
703.125000	-41.164921
726.562500	-45.578117
750.000000	-48.376572
773.437500	-46.935024
796.875000	-46.946686
820.312500	-42.390419
843.750000	-41.542107
867.187500	-51.651215
890.625000	-55.620079
914.062500	-55.022339
937.500000	-52.339603
960.937500	-55.088284
984.375000	-51.434753
1007.812500	-53.135456
1031.250000	-42.610916
1054.687500	-38.771957
1078.125000	-45.725658
1101.562500	-53.007442
1125.000000	-55.511906
1148.437500	-59.245354
1171.875000	-52.932911
1195.312500	-53.562862
1218.750000	-55.531670
1242.187500	-48.006683
1265.625000	-49.681145
1289.062500	-57.670254
1312.500000	-56.630577
1335.937500	-57.196568
1359.375000	-56.885681
1382.812500	-49.606041
1406.250000	-46.125072
1429.687500	-52.091965
1453.125000	-58.408173
1476.562500	-54.046329
1500.000000	-54.171925
1523.437500	-59.683132
1546.875000	-58.326225
1570.312500	-51.601086
1593.750000	-52.369366
1617.187500	-60.127796
1640.625000	-53.409203
1664.062500	-45.270615
1687.500000	-47.081181
1710.937500	-58.885303
1734.375000	-63.182285
1757.812500	-61.209602
1781.250000	-60.550018
1804.687500	-66.168297
1828.125000	-66.179535
1851.562500	-60.494526
1875.000000	-54.429192
1898.437500	-56.711723
1921.875000	-66.205788
1945.312500	-68.856567
1968.750000	-65.889359
1992.187500	-63.565647
2015.625000	-67.326668
2039.062500	-71.649811
2062.500000	-69.326286
2085.937500	-61.752125
2109.375000	-58.239998
2132.812500	-61.673038
2156.250000	-68.511246
2179.687500	-66.835052
2203.125000	-66.805794
2226.562500	-66.350273
2250.000000	-66.703896
2273.437500	-70.165291
2296.875000	-70.268440
2320.312500	-69.278214
2343.750000	-67.023605
2367.187500	-64.416588
2390.625000	-65.602249
2414.062500	-71.551292
2437.500000	-73.150688
2460.937500	-69.083206
2484.375000	-65.862236
2507.812500	-62.170647
2531.250000	-61.760918
2554.687500	-68.332672
2578.125000	-72.745461
2601.562500	-76.056450
2625.000000	-77.020607
2648.437500	-71.688309
2671.875000	-69.969719
2695.312500	-73.577484
2718.750000	-76.559044
2742.187500	-75.592789
2765.625000	-72.191391
2789.062500	-69.836555
2812.500000	-66.798904
2835.937500	-64.298134
2859.375000	-67.968834
2882.812500	-73.805115
2906.250000	-73.070396
2929.687500	-72.722847
2953.125000	-72.643051
2976.562500	-72.825439
3000.000000	-74.253372
3023.437500	-74.963081
3046.875000	-75.628006
3070.312500	-78.423431
3093.750000	-73.947098
3117.187500	-75.758598
3140.625000	-72.796272
3164.062500	-65.453056
3187.500000	-65.477654
3210.937500	-70.734398
3234.375000	-77.254654
3257.812500	-79.551414
3281.250000	-77.247475
3304.687500	-79.121925
3328.125000	-72.872787
3351.562500	-70.961273
3375.000000	-69.038994
3398.437500	-71.219131
3421.875000	-76.742706
3445.312500	-80.661934
3468.750000	-81.385201
3492.187500	-79.747696
3515.625000	-79.453545
3539.062500	-77.948647
3562.500000	-75.389404
3585.937500	-73.027466
3609.375000	-73.164291
3632.812500	-75.524818
3656.250000	-81.398415
3679.687500	-79.907158
3703.125000	-76.082306
3726.562500	-78.086113
3750.000000	-72.664955
3773.437500	-70.369629
3796.875000	-72.281075
3820.312500	-71.922134
3843.750000	-72.566574
3867.187500	-76.216141
3890.625000	-82.847389
3914.062500	-85.075859
3937.500000	-83.876984
3960.937500	-81.629509
3984.375000	-76.044601
4007.812500	-74.089684
4031.250000	-77.377998
4054.687500	-82.890533
4078.125000	-83.171211
4101.562500	-83.490646
4125.000000	-85.982796
4148.437500	-85.249336
4171.875000	-85.272606
4195.312500	-83.707603
4218.750000	-80.921875
4242.187500	-74.841545
4265.625000	-73.121788
4289.062500	-76.259720
4312.500000	-76.866280
4335.937500	-78.831848
4359.375000	-82.809570
4382.812500	-85.955711
4406.250000	-86.409279
4429.687500	-86.326912
4453.125000	-85.391876
4476.562500	-77.741898
4500.000000	-74.353966
4523.437500	-76.526085
4546.875000	-78.544594
4570.312500	-80.399269
4593.750000	-79.162315
4617.187500	-83.762474
4640.625000	-89.479927
4664.062500	-90.952187
4687.500000	-88.797516
