주파수 (Hz)	레벨 (dB)
23.437500	-97.649300
46.875000	-83.165359
70.312500	-69.602608
93.750000	-62.923901
117.187500	-60.253906
140.625000	-58.285831
164.062500	-58.062706
187.500000	-58.744652
210.937500	-58.163376
234.375000	-57.053627
257.812500	-61.487301
281.250000	-62.809868
304.687500	-61.707001
328.125000	-63.720905
351.562500	-59.963539
375.000000	-57.408745
398.437500	-59.439507
421.875000	-61.639606
445.312500	-58.644665
468.750000	-58.342815
492.187500	-63.428299
515.625000	-64.622765
539.062500	-64.679626
562.500000	-60.745167
585.937500	-53.340019
609.375000	-56.053135
632.812500	-61.680740
656.250000	-68.486488
679.687500	-64.163696
703.125000	-60.204781
726.562500	-63.142704
750.000000	-64.321167
773.437500	-65.571869
796.875000	-65.547020
820.312500	-69.953979
843.750000	-75.532745
867.187500	-73.714684
890.625000	-71.845016
914.062500	-74.287849
937.500000	-71.455162
960.937500	-76.139565
984.375000	-75.181175
1007.812500	-78.791588
1031.250000	-78.300964
1054.687500	-75.419212
1078.125000	-79.123711
1101.562500	-76.919632
1125.000000	-79.055275
1148.437500	-84.053345
1171.875000	-74.577911
1195.312500	-75.159798
1218.750000	-82.770668
1242.187500	-77.698769
1265.625000	-78.608818
1289.062500	-84.288528
1312.500000	-82.342850
1335.937500	-83.047432
1359.375000	-85.167450
1382.812500	-76.362518
1406.250000	-73.165367
1429.687500	-78.556824
1453.125000	-87.719490
1476.562500	-82.430954
1500.000000	-81.577820
1523.437500	-86.690536
1546.875000	-77.722153
1570.312500	-67.996658
1593.750000	-68.619652
1617.187500	-80.687790
1640.625000	-85.874893
1664.062500	-84.111641
1687.500000	-84.262444
1710.937500	-90.142212
1734.375000	-89.656502
1757.812500	-80.526833
1781.250000	-76.806946
1804.687500	-83.876747
1828.125000	-93.493324
1851.562500	-82.153862
1875.000000	-74.923790
1898.437500	-78.318626
1921.875000	-91.370705
1945.312500	-94.113243
1968.750000	-90.280571
1992.187500	-89.047653
2015.625000	-94.908043
2039.062500	-99.930893
2062.500000	-97.571251
2085.937500	-91.313431
2109.375000	-84.687950
2132.812500	-86.836342
2156.250000	-98.038086
2179.687500	-99.240845
2203.125000	-94.085068
2226.562500	-88.473228
2250.000000	-88.978554
2273.437500	-96.776085
2296.875000	-101.797867
2320.312500	-98.507256
2343.750000	-90.751602
2367.187500	-83.063812
2390.625000	-83.398323
2414.062500	-92.615395
2437.500000	-99.383911
2460.937500	-100.842957
2484.375000	-94.566826
